category1,category2,industry_Type,industry_Name,purchaseIndex1688,supplyIndex,crawl_Time
童装,儿童防晒衣/皮肤衣,热门行业,儿童防晒衣/皮肤衣,211,989,2019-10-06 15:36:47
童装,儿童防晒衣/皮肤衣,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:47
童装,儿童防晒衣/皮肤衣,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:47
童装,儿童防晒衣/皮肤衣,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:47
童装,儿童防晒衣/皮肤衣,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:47
童装,儿童防晒衣/皮肤衣,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:36:47
童装,儿童内衣内裤,热门行业,儿童内衣内裤,"2,864","4,817",2019-10-06 15:36:48
童装,儿童内衣内裤,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:48
童装,儿童内衣内裤,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:48
童装,儿童内衣内裤,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:48
童装,儿童内衣内裤,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:48
童装,儿童内衣内裤,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:36:48
童装,儿童袜,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:49
童装,儿童袜,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:49
童装,儿童袜,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:49
童装,儿童袜,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:49
童装,儿童袜,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:36:49
童装,儿童袜,热门行业,童卫衣,"2,991","5,223",2019-10-06 15:36:49
童装,连身衣、爬服,热门行业,连身衣、爬服,"3,559","6,660",2019-10-06 15:36:49
童装,连身衣、爬服,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:49
童装,连身衣、爬服,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:49
童装,连身衣、爬服,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:49
童装,连身衣、爬服,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:49
童装,连身衣、爬服,热门行业,童卫衣,"2,991","5,223",2019-10-06 15:36:49
童装,亲子装,热门行业,亲子装,"1,914","3,876",2019-10-06 15:36:50
童装,亲子装,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:50
童装,亲子装,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:50
童装,亲子装,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:50
童装,亲子装,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:50
童装,亲子装,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:36:50
童装,童T恤,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:50
童装,童T恤,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:50
童装,童T恤,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:50
童装,童T恤,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:50
童装,童T恤,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:36:50
童装,童T恤,热门行业,童卫衣,"2,991","5,223",2019-10-06 15:36:50
童装,童背心/吊带衫,热门行业,童背心/吊带衫,497,"1,521",2019-10-06 15:36:51
童装,童背心/吊带衫,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:51
童装,童背心/吊带衫,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:51
童装,童背心/吊带衫,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:51
童装,童背心/吊带衫,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:51
童装,童背心/吊带衫,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:36:51
童装,童表演服/舞蹈服/摄影服,热门行业,童表演服/舞蹈服/摄影服,"1,687","5,882",2019-10-06 15:36:51
童装,童表演服/舞蹈服/摄影服,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:51
童装,童表演服/舞蹈服/摄影服,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:51
童装,童表演服/舞蹈服/摄影服,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:51
童装,童表演服/舞蹈服/摄影服,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:51
童装,童表演服/舞蹈服/摄影服,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:36:51
童装,童衬衫,热门行业,童衬衫,"1,449","4,278",2019-10-06 15:36:51
童装,童衬衫,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:51
童装,童衬衫,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:51
童装,童衬衫,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:51
童装,童衬衫,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:51
童装,童衬衫,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:36:51
童装,童打底裤,热门行业,童打底裤,816,"1,841",2019-10-06 15:36:52
童装,童打底裤,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:52
童装,童打底裤,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:52
童装,童打底裤,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:52
童装,童打底裤,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:52
童装,童打底裤,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:36:52
童装,童打底衫,热门行业,童打底衫,934,"1,508",2019-10-06 15:36:52
童装,童打底衫,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:52
童装,童打底衫,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:52
童装,童打底衫,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:52
童装,童打底衫,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:52
童装,童打底衫,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:36:52
童装,童家居服,热门行业,童家居服,"1,836","4,216",2019-10-06 15:36:53
童装,童家居服,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:53
童装,童家居服,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:53
童装,童家居服,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:53
童装,童家居服,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:53
童装,童家居服,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:36:53
童装,童裤,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:53
童装,童裤,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:53
童装,童裤,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:53
童装,童裤,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:53
童装,童裤,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:36:53
童装,童裤,热门行业,童卫衣,"2,991","5,223",2019-10-06 15:36:53
童装,童礼服,热门行业,童礼服,"1,633","3,491",2019-10-06 15:36:54
童装,童礼服,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:54
童装,童礼服,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:54
童装,童礼服,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:54
童装,童礼服,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:54
童装,童礼服,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:36:54
童装,童马甲,热门行业,童马甲,"1,579","2,759",2019-10-06 15:36:55
童装,童马甲,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:55
童装,童马甲,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:55
童装,童马甲,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:55
童装,童马甲,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:55
童装,童马甲,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:36:55
童装,童毛衣,热门行业,童毛衣,"2,725","4,535",2019-10-06 15:36:55
童装,童毛衣,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:55
童装,童毛衣,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:55
童装,童毛衣,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:55
童装,童毛衣,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:55
童装,童毛衣,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:36:55
童装,童棉衣,热门行业,童棉衣,"1,989","3,256",2019-10-06 15:36:56
童装,童棉衣,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:56
童装,童棉衣,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:56
童装,童棉衣,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:56
童装,童棉衣,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:56
童装,童棉衣,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:36:56
童装,童牛仔服,热门行业,童牛仔服,391,924,2019-10-06 15:36:56
童装,童牛仔服,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:56
童装,童牛仔服,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:56
童装,童牛仔服,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:56
童装,童牛仔服,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:56
童装,童牛仔服,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:36:56
童装,童披风/斗蓬,热门行业,童披风/斗蓬,561,675,2019-10-06 15:36:57
童装,童披风/斗蓬,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:57
童装,童披风/斗蓬,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:57
童装,童披风/斗蓬,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:57
童装,童披风/斗蓬,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:57
童装,童披风/斗蓬,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:36:57
童装,童皮草/皮毛一体,热门行业,童皮草/皮毛一体,336,516,2019-10-06 15:36:57
童装,童皮草/皮毛一体,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:57
童装,童皮草/皮毛一体,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:57
童装,童皮草/皮毛一体,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:57
童装,童皮草/皮毛一体,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:57
童装,童皮草/皮毛一体,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:36:57
童装,童皮衣,热门行业,童皮衣,353,547,2019-10-06 15:36:58
童装,童皮衣,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:58
童装,童皮衣,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:58
童装,童皮衣,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:58
童装,童皮衣,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:58
童装,童皮衣,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:36:58
童装,童旗袍/唐装/民族服装,热门行业,童旗袍/唐装/民族服装,"1,341","3,078",2019-10-06 15:36:58
童装,童旗袍/唐装/民族服装,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:58
童装,童旗袍/唐装/民族服装,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:58
童装,童旗袍/唐装/民族服装,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:58
童装,童旗袍/唐装/民族服装,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:58
童装,童旗袍/唐装/民族服装,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:36:58
童装,童裙,热门行业,童裙,"4,292","10,149",2019-10-06 15:36:58
童装,童裙,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:58
童装,童裙,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:58
童装,童裙,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:58
童装,童裙,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:58
童装,童裙,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:36:58
童装,童套装,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:59
童装,童套装,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:59
童装,童套装,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:59
童装,童套装,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:59
童装,童套装,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:36:59
童装,童套装,热门行业,童卫衣,"2,991","5,223",2019-10-06 15:36:59
童装,童外套/夹克/大衣,热门行业,童外套/夹克/大衣,"3,622","7,614",2019-10-06 15:36:59
童装,童外套/夹克/大衣,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:59
童装,童外套/夹克/大衣,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:59
童装,童外套/夹克/大衣,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:59
童装,童外套/夹克/大衣,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:59
童装,童外套/夹克/大衣,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:36:59
童装,童卫衣,热门行业,童卫衣,"2,991","5,223",2019-10-06 15:37:00
童装,童卫衣,热门行业,童裤,"4,533","11,450",2019-10-06 15:37:00
童装,童卫衣,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:37:00
童装,童卫衣,热门行业,童套装,"6,352","17,418",2019-10-06 15:37:00
童装,童卫衣,热门行业,童T恤,"3,081","8,696",2019-10-06 15:37:00
童装,童卫衣,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:37:00
童装,童羽绒服/羽绒内胆,热门行业,童羽绒服/羽绒内胆,"1,727","2,468",2019-10-06 15:37:00
童装,童羽绒服/羽绒内胆,热门行业,童裤,"4,533","11,450",2019-10-06 15:37:00
童装,童羽绒服/羽绒内胆,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:37:00
童装,童羽绒服/羽绒内胆,热门行业,童套装,"6,352","17,418",2019-10-06 15:37:00
童装,童羽绒服/羽绒内胆,热门行业,童T恤,"3,081","8,696",2019-10-06 15:37:00
童装,童羽绒服/羽绒内胆,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:37:00
童装,童针织衫,热门行业,童针织衫,898,"2,076",2019-10-06 15:37:00
童装,童针织衫,热门行业,童裤,"4,533","11,450",2019-10-06 15:37:00
童装,童针织衫,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:37:00
童装,童针织衫,热门行业,童套装,"6,352","17,418",2019-10-06 15:37:00
童装,童针织衫,热门行业,童T恤,"3,081","8,696",2019-10-06 15:37:00
童装,童针织衫,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:37:00
童装,童装加工定制,热门行业,童装加工定制,119,552,2019-10-06 15:37:01
童装,童装加工定制,热门行业,童裤,"4,533","11,450",2019-10-06 15:37:01
童装,童装加工定制,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:37:01
童装,童装加工定制,热门行业,童套装,"6,352","17,418",2019-10-06 15:37:01
童装,童装加工定制,热门行业,童T恤,"3,081","8,696",2019-10-06 15:37:01
童装,童装加工定制,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:37:01
童装,童装杂款包,热门行业,童装杂款包,69,748,2019-10-06 15:37:01
童装,童装杂款包,热门行业,童裤,"4,533","11,450",2019-10-06 15:37:01
童装,童装杂款包,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:37:01
童装,童装杂款包,热门行业,童套装,"6,352","17,418",2019-10-06 15:37:01
童装,童装杂款包,热门行业,童T恤,"3,081","8,696",2019-10-06 15:37:01
童装,童装杂款包,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:37:01
童装,校服/校服定制,热门行业,校服/校服定制,"1,614","4,618",2019-10-06 15:37:02
童装,校服/校服定制,热门行业,童裤,"4,533","11,450",2019-10-06 15:37:02
童装,校服/校服定制,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:37:02
童装,校服/校服定制,热门行业,童套装,"6,352","17,418",2019-10-06 15:37:02
童装,校服/校服定制,热门行业,童T恤,"3,081","8,696",2019-10-06 15:37:02
童装,校服/校服定制,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:37:02
童装,婴儿礼盒,热门行业,婴儿礼盒,646,"1,298",2019-10-06 15:37:02
童装,婴儿礼盒,热门行业,童裤,"4,533","11,450",2019-10-06 15:37:02
童装,婴儿礼盒,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:37:02
童装,婴儿礼盒,热门行业,童套装,"6,352","17,418",2019-10-06 15:37:02
童装,婴儿礼盒,热门行业,童T恤,"3,081","8,696",2019-10-06 15:37:02
童装,婴儿礼盒,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:37:02
童装,儿童防晒衣/皮肤衣,潜力行业,连身衣、爬,"3,559","6,660",2019-10-06 15:37:39
