公司名,编号,地区,主要产品,主要市场,交易量,交易额
Yiwu Xiangguan ,1,Yiwu,"baby shoes,baby sandals,baby boots,baby socks,baby ', 'clothes","North America 20%', 'Southeast Asia 15%', 'Eastern Europe 14%",51,7000
"Jiangxi Kaimei Garment Co., Ltd.  ",1,Jiangxi,"Knit garment,fleece hoodies,sweatshirt,fleece jacket,polo t shirt","Western Europe 16%', 'South America 15%', 'North America 10%",1,9
Shenzhen Runzesen Electronic Commerce Company Limited  ,1,Shenzhen,"household products,', ""children's"", ' garments,', ""children's"", ' shoes","North America 30%', 'South America 30%', 'Southeast Asia 20%",0,0
"Guangzhou Fengrui Clothing Co., Ltd.  ",1,Guangzhou,Sports Wear,"Domestic Market 50%', 'North America 25%', 'South America 14%",210,90000
"Shenzhen Stintop Technology Co., Ltd.  ",1,Shenzhen,"Home&garden,PVC trunking and pipe,dutch bucket,Commercial kitchen equipment,Commercial refrigeration equipment","Northern Europe 20%', 'Eastern Europe 15%', 'Africa 10%",12,10000
NGUYEN KHAI SOLUTION SERVICE TRADING COMPANY LIMITED  ,1,NGUYEN,"Polo Shirt,T-Shirt,Print T-Shirt,Kids T-shirt,Embroidry T-Shirt","Domestic Market 25%', 'Eastern Asia 12%', 'South Asia 10%",0,0
Dongguan Xumuran Garment Limited Company  ,1,Dongguan,"Children's"", ' Clothing (Coat,t-shirt,Shirt,Pants,Dress)","Domestic Market 31.7%', 'North America 30.0%', 'Southeast Asia 10.0%",74,40000
"Dongguan Ziying Garment Co., Ltd.  ",1,Dongguan,"baby ropmer,girls dress/skirt,kids t shirt,kids pants/shorts,kids coat/jackt","Oceania 90%', 'Northern Europe 40%', 'Southern Europe 40%",16,70000
"Hengshui Shuoyang Imp. And Exp. Co., Ltd.  ",1,Hengshui,"Healthcare Series,Body Shapers Series,Sport Series,Maternity & Baby Series,Outdoor Series","Western Europe 16%', 'Southern Europe 13%', 'Northern Europe 12%",242,50000
"Guangzhou Guiyun Clothing Co., Ltd.  ",1,Guangzhou,"rash guard,tights,leggings,compression wear,yoga wear","North America 40%', 'Eastern Europe 20%', 'Western Europe 20%",61,20000
"Yiwu Kapu Clothing Co., Ltd.  ",1,Yiwu,"Baby clothing,baby shoes,pettiskirts,hair accessories,import and export","North America 70%', 'South America 13%', 'Oceania 10%",114,30000
"Nanchang Byval Garment Co., Ltd.  ",1,Nanchang,"T shirt,Polo shirt,Hoodies,Sweater,Tank Top","North America 17%', 'South America 15%', 'Northern Europe 15%",57,180000
"Yiwu Maxine Trading Co., Ltd.  ",1,Yiwu,"Girl ', 'clothes', ',boy ', 'clothes', ',baby ', 'clothes', ',canvas bag,baby ', 'clothes","Southeast Asia 30%', 'North America 20%', 'Central America 10%",0,0
"Guangzhou Meiqiai Garment Co., Ltd.  ",1,Guangzhou,"Girl Party Dress,', 'Children', ' Dress,Cosplay Costume","North America 25.0%', 'Western Europe 20.0%', 'Southeast Asia 20.0%",221,120000
"Guangdong Yihua Technology Co., Ltd.  ",1,Guangdong,"Face Mask,Beauty Tools,Personal Care,Body Care,Make Up",South America 90%,0,0
"Liaocheng Blackant Import And Export Co., Ltd.  ",1,Liaocheng,"Baby Romper,T-shirt,Knitted Jacket","Western Europe 16.0%', 'Eastern Asia 16.0%', 'Domestic Market 16.0%",1,10
"Ningbo General International Trading Co., Ltd.  ",1,Ningbo,Lashing Equipment,"Southeast Asia 15.0%', 'Western Europe 15.0%', 'North America 15.0%",0,0
"Guangzhou Norboe Garment Co., Ltd.  ",1,Guangzhou,"swimwear,bikini,yoga wear,bandage dress,evening dress","North America 70%', 'Central America 5%', 'Eastern Europe 5%",0,0
"Shanghai Luyuan Industrial Co., Ltd.  ",1,Shanghai,"Girls' Clothing,Infant & Toddlers Clothing,Sportswear,Boys' Clothing,Garment Accessories","Western Europe 15%', 'Northern Europe 15%', 'North America 10%",78,30000
Guangzhou Royal Wolf Standard Denim Garment Ltd.  ,1,Guangzhou,"Jeans,Denim Jacket,Gym Pants,Motorcycle Garment,Breeches","North America 25.0%', 'Western Europe 17.0%', 'Southern Europe 13.0%",209,130000
"Wuxi Aifutesi Textiles Co., Ltd.  ",1,Wuxi,"leggings,underwear,stockings,tshirt,Sweater","Southern Europe 22%', 'Western Europe 20%', 'Northern Europe 20%",79,50000
"Shaoxing Dengao Garments Co., Ltd.  ",1,Shaoxing,Clothing,"North America 30.0%', 'Northern Europe 20.0%', 'Western Europe 15.0%",65,340000
"Guangzhou SHH Imp.& Exp. Co., Ltd.  ",1,Guangzhou,"Clothing,Shoe,Bags,Accessories","Mid East 30%', 'North America 30%', 'Southeast Asia 20%",95,30000
"Shenzhen Aibei Trading Co., Ltd.  ",1,Shenzhen,"Girl Dresses,Princess Dresses,Girl Evening Dresses,Baby Girl ', 'Clothes', ',Baby Boy ', 'Clothes","North America 40%', 'Western Europe 20%', 'Mid East 10%",0,0
"Yiwu Laixi E-Commerce Co., Ltd.  ",1,Yiwu,"Women Clothing,Man Clothing,', 'Children', ' Clothing,Women Bags,Man Bags","Southeast Asia 30%', 'North America 23%', 'Western Europe 10%",38,20000
"Quanzhou Kaihui Garment Co., Ltd.  ",1,Quanzhou,"Baby ', 'clothes', ',', ""children's"", ' ', 'clothes', "",boys' "", 'clothes', "",girls' "", 'clothes', ',kids garments","North America 60%', 'Eastern Europe 35%', 'Oceania 5%",0,0
Yiwu Flourish Show E-Commerce Firm  ,1,Yiwu,"Bags,Clothing,Scarf,Jewelry,Fashion accessories","Southeast Asia 14%', 'Africa 14%', 'North America 14%",0,0
Shenzhen DuoDuo Princess ,1,Shenzhen,"children', ' dress,', 'children', ' wedding dress,', 'children', ' casual dress,', 'children', ' dance dress,', 'children', ' tutu dress","Domestic Market 30%', 'North America 11%', 'Northern Europe 10%",90,20000
"Shenzhen XINHUI Clothing Co., Ltd.  ",1,Shenzhen,"T shirts,Sweatshirt & Hoodies,GYM & Sports wear,Caps & Hats,Joggers &Pants","South America 10%', 'Eastern Europe 10%', 'Southeast Asia 10%",179,160000
Goldely Garments Import And Export Inc.  ,1,Goldely,"Mens polo shirt,mens Hoody,mens Polo shirt safety vest,Mens Strip polo,Mens sweater","Southeast Asia 14%', 'Africa 14%', 'Oceania 14%",0,0
Yiwu Queyi Smile Garment Factory  ,1,Yiwu,"100% cotton ruffle pants,kids fashion outfits,cotton japamas,baby soft outfits,kids ruffle dresses","Western Europe 95%', 'Domestic Market 5%",1,200
"Hefei Fatpony Garment Co., Ltd.  ",1,Hefei,"t shirt,hoodies,uniform,textiles,accessaries","Western Europe 30%', 'Africa 20%', 'Eastern Europe 10%",0,0
Guangzhou Dongfan Garment Factory  ,1,Guangzhou,"women clothing,kinds coothing,fashion clothing,Evening Dress","South America 50%', 'Oceania 30%', 'Western Europe 5%",10,3000
"Quanzhou Kaiwei Garments Co., Ltd.  ",1,Quanzhou,"Underwear,T shirt,Sleepwear","Eastern Europe 40.0%', 'Western Europe 20.0%', 'Northern Europe 10.0%",0,0
"Anhui Rookie To Fly E-Commerce Development Co., Ltd.  ",1,Anhui,"Women's "", 'clothes', "",Men's "", 'clothes', ',Fashion accessories,', 'Children', ' ', 'clothes', ',Household",,0,0
"Hefei ZY Trade Co., Ltd.  ",1,Hefei,"men shoes,women shoes,', 'children', ' shoes,', 'clothes', ',accessories","North America 15%', 'Western Europe 12%', 'Mid East 10%",183,40000
"Hefei Chengzhi Trade Co., Ltd.  ",1,Hefei,"Children's"", ' clothing,women clothing,men clothing,bags,shoes",,66,10000
"Shijiazhuang Mayrain Imp/Exp Co., Ltd.  ",1,Shijiazhuang,"rainwear,raincoat,promotion,apron,rainsuit","North America 38%', 'Western Europe 25%', 'Southeast Asia 12%",2,8000
Guangzhou United Honour Enterprises Ltd.  ,1,Guangzhou,"Leather Belt,Bags","Eastern Europe 85%', 'North America 10%', 'South America 2%",0,0
"Guangzhou Yingcai Clothing Co., Ltd.  ",1,Guangzhou,"Clothes', ',Kids ', 'Clothes', ',Women ', 'Clothes', ',Men ', 'Clothes', ',Baby ', 'Clothes","North America 30%', 'Western Europe 10%', 'Central America 10%",32,10000
Yiwu Shunhai Garment Factory  ,1,Yiwu,"Children', ' ', 'clothes', ',kid garment,girl ', 'clothes', ',boy ', 'clothes', ',', 'children', ' garment","Western Europe 25%', 'North America 20%', 'Eastern Europe 10%",0,0
"Xi'an Everglam Garments Co., Ltd.  ",1,Xi'an,"Children's"", "" clothing,Women's clothing,Men's clothing,Underwear,leatherware","North America 30%', 'Eastern Asia 20%', 'Eastern Europe 20%",0,0
"Shenzhen Dongfan Garment & Accessories Co., Ltd.  ",1,Shenzhen,"female garment,kid's garment,fabric,accessories",,0,0
"Zhangjiagang Shuofeng Textile Co., Ltd.  ",1,Zhangjiagang,"clothing,fabric,bags,hats","North America 30%', 'Northern Europe 30%', 'Southeast Asia 20%",52,400000
"Guangzhou Grassroots Garment Co., Ltd.  ",1,Guangzhou,"T-shirt,Uniform,Hoodies,Jacket,Sports Wear","Domestic Market 45%', 'North America 17%', 'Africa 12%",0,0
"Guangzhou Ifree Dress Co., Ltd.  ",1,Guangzhou,"dress,bandage dress,evening dress,fashion bandage dress","Western Europe 60%', 'Northern Europe 30%', 'Southeast Asia 5%",24,7000
"Anhui Spring Import & Export Trade Co., Ltd.  ",1,Anhui,"clothing,shoes,bags,accessories","North America 20%', 'Western Europe 12%', 'Oceania 10%",106,10000
"Bazhou Taimei Apparel Co., Ltd.  ",1,Bazhou,"boys' suit,boys' blazer,men's suit,men's jacket","South America 30%', 'Mid East 20%', 'North America 20%",24,100000
"Yiwu Yifan Garment Co., Ltd.  ",1,Yiwu,"children', ' outfits,', 'children', ' dresses,', 'children', ' t-shirts,', 'children', ' pants,', 'children', ' accessories",,107,70000
TRIMASS FASHION  ,1,TRIMASS,"T-Shirt,Polo Shirt,Padding Jacket,Sweater,Woven Pant","Western Europe 40%', 'Oceania 25%', 'North America 20%",0,0
"Anhui Xinrong Imp.& Exp. Co., Ltd.  ",1,Anhui,"bags,shoes,', 'clothes', ',accessories,socks","Africa 12%', 'North America 10%', 'Central America 10%",251,30000
ELEGANT SPORTS  ,1,ELEGANT,"Sports Wears,Boxing Equipments,Martial ArtsEquipments,Sports goods","Eastern Europe 40%', 'North America 30%', 'Southern Europe 20%",0,0
"Dongguan Jisen Fashion Co., Ltd.  ",1,Dongguan,"kids dress,', 'children', ' pajamas,baby outfits,baby bubbles,lady ruffle pants","North America 43%', 'Oceania 30%', 'Northern Europe 5%",0,0
Shishi Zhengfeng Yangming Clothing Store  ,1,Shishi,"down vest,Cotton-padded ', 'clothes', ',Faux down coat","Southeast Asia 10%', 'Eastern Europe 10%', 'South America 10%",0,0
"Hebei Jinyi Clothing Co., Ltd.  ",1,Hebei,Baby Clothing,"Domestic Market 80.0%', 'Africa 4.0%', 'Southeast Asia 3.0%",0,0
"Hangzhou Wonder Import And Export Co., Ltd.  ",1,Hangzhou,"Luggage,Diaper Bag,Baby Carrier,Bags & Cases,baby ', 'Clothes","Eastern Europe 30%', 'Western Europe 20%', 'Northern Europe 20%",192,100000
"Cheeri Industrial (Shenzhen) Co., Ltd.  ",1,Cheeri,baby products,,83,50000
"Jiangxi Hengjing Clothing Co., Ltd.  ",1,Jiangxi,"t shirt,hoody&swearshirt,polo shirt,pants,tank top","North America 30%', 'South America 20%', 'Eastern Europe 15%",0,0
"Shenzhen GreatBuy Technology Co., Ltd.  ",1,Shenzhen,"toy,battery,light,outdoor,indoor","Africa 15%', 'Eastern Europe 15%', 'North America 12%",74,20000
"Wuxi Sunrise Textile Co., Ltd.  ",1,Wuxi,"waterproof fabric,fire retardant fabric,functional fabric,Apparel,outdoor Jacket","Eastern Europe 30%', 'South America 20%', 'North America 20%",0,0
"Wuhan Happydodo Trading Co., Ltd.  ",1,Wuhan,"Theme of tableware,Birthday candles,Birthday toy,Party bags",,4,200
"Hangzhou Lozo Commerce And Trade Co., Ltd.  ",1,Hangzhou,"Children's"", ' Clothing","North America 60.0%', 'Eastern Asia 15.0%', 'Domestic Market 15.0%",46,6000
"Hefei Fengsida Trading Co., Ltd.  ",1,Hefei,"Socks,Baby Supplies,Hats,School Supplies,Toys","South America 15%', 'North America 15%', 'Southeast Asia 15%",143,30000
"Yiwu Ehi Garment Co., Ltd.  ",1,Yiwu,"children', ' ', 'clothes', ',kids ', 'clothes', ',baby ', 'clothes', ',', 'children', ' outfit /dress,baby outfit /dress","North America 30%', 'Central America 10%', 'Oceania 10%",0,0
"Nanjing Hengrunsheng International Trading Co., Ltd.  ",1,Nanjing,"KIDS SWEATER,GIRLS DRESS,WOMEN SWEATER,MEN SWEATER,T-shirt","North America 30%', 'Eastern Europe 25%', 'Eastern Asia 10%",8,6000
"Quanzhou Licheng District Watson Trading Co., Ltd.  ",1,Quanzhou,"swimwear,', ""children's"", ' wear,underwear,baby wear,denim","South America 10%', 'Southeast Asia 10%', 'Western Europe 10%",9,8000
"Yueyang Forward Fashion Accessories Co., Ltd.  ",1,Yueyang,"women clothing,man clothing,sportswear,kids ', 'clothes', ',jewelries","North America 60%', 'Oceania 10%', 'Western Europe 6%",66,10000
"Jiangxi Fangda Clothing Co., Ltd.  ",1,Jiangxi,"t shirt,hoodies,polo shirt,vest,Group suit","North America 13%', 'South America 10%', 'Eastern Asia 9%",71,50000
Xiamen Yiju Garments Inc.  ,1,Xiamen,"Underwear,Sprots wear,Sleepwear,swimwear","Eastern Europe 40%', 'Northern Europe 30%', 'Oceania 10%",66,80000
"Fuzhou Yuanteng Network Technology Co., Ltd.  ",1,Fuzhou,"children's"", ' garments,adult clothing,baby ', 'clothes', ',Printing paper,Water Decal Paper","Eastern Europe 20%', 'North America 20%', 'Southern Europe 10%",97,10000
"Taizhou Rugic Import & Export Co., Ltd.  ",1,Taizhou,"bathrobe,blanket,towel,laundry bag,hotel slipper","Western Europe 40%', 'Eastern Europe 16%', 'North America 15%",59,120000
"Number One Industrial Co., Ltd.  ",1,Number,"baby ', 'clothes', ',kids ', 'clothes', ',swimwear,diaper bag,school bag","Southeast Asia 60%', 'North America 30%', 'Northern Europe 10%",440,60000
"Yiwu Saichen Import And Export Co., Ltd.  ",1,Yiwu,"Umbrella,Bags,Baby products,garment,hanger",,345,260000
"Guangzhou Feiming Industrial Co., Limited  ",1,Guangzhou,"Baby ', 'clothes', ',romper,girls dress,kids ', 'clothes', ',', ""Children's"", ' Clothing Sets","Oceania 27%', 'North America 17%', 'South America 12%",71,60000
"Shaoxing Jinlong Textile Co., Ltd.  ",1,Shaoxing,"Textile fabrics,baby muslin swaddle,Home textile,blanket,tablecloth","North America 26%', 'South America 21%', 'Eastern Europe 20%",38,70000
"Jiaxing Jingtong Garment Co., Ltd.  ",1,Jiaxing,"Clothing,knitted goods,Shoes and hats,Toys,Bags","North America 30%', 'Eastern Europe 30%', 'Africa 15%",0,0
Yiwu Kana E-Commerce Firm  ,1,Yiwu,"keychain,', 'clothes', ',accessories,baby products,bags","North America 70%', 'Eastern Europe 28%', 'South America 2%",49,8000
Yiwu Shenglan E-C Firm  ,1,Yiwu,"ballet,tutu,party products,shoes,', 'clothes","North America 50%', 'Western Europe 10%', 'South America 10%",29,9000
"Yiwu Poshprincess Garment Co., Ltd.  ",1,Yiwu,"Children's"", ' Clothing,Kids Hair Accessories,Baby Moccasins,Bubblegum Necklace","North America 80%', 'Western Europe 10%', 'Eastern Europe 5%",26,10000
Foshan City Nanhai District Guicheng Xinde Garment Factory  ,1,Foshan,"Baby Crawling Suit,Girls Dress,Parent and ', 'Child', ' Clothing,', ""Children's"", ' T Shirt,Boy Jeans","Southeast Asia 25.0%', 'Africa 10.0%', 'Mid East 10.0%",0,0
"Jiangxi Brother Garment Co., Ltd.  ",1,Jiangxi,"Men's shirt,Polo Shirt,Womens Hoodies,Tank tops,Pants&Joggers","Eastern Europe 15%', 'North America 15%', 'South America 15%",30,20000
TRACKTEE SPORTS  ,1,TRACKTEE,"Track Suits,T-Shirts,Polo Shorts,Shorts,Leggy","Eastern Europe 30%', 'Western Europe 30%', 'Northern Europe 20%",0,0
"Shenzhen JDB Technology Co., Ltd.  ",1,Shenzhen,"Jewelry,Fashion Necklace,Jewelry Finding,Bracelets,Earrings","North America 20%', 'Northern Europe 20%', 'Western Europe 15%",0,0
"Fuzhou Heska Garment Co., Ltd.  ",1,Fuzhou,"Workwear,Outdoor wear","Northern Europe 20%', 'North America 20%', 'South America 20%",18,1100000
"Henan Runduo Garments Co., Ltd.  ",1,Henan,"baby romper,newborn ', 'clothes', ',kid dress,blanket,baby shoes","North America 38%', 'Western Europe 15%', 'Eastern Europe 15%",54,40000
"Shanghai Powertec Industry Co., Ltd.  ",1,Shanghai,"Men wear,Women wear,Kids wear,Fabric,Uniforms","North America 15%', 'Northern Europe 10%', 'Central America 10%",230,10000
"Shenzhen Hobbywin Technology Co., Ltd.  ",1,Shenzhen,"Toy Hobby,Home Garden,Lipo Battery,Outdoor,Electronic","Western Europe 20%', 'North America 20%', 'Eastern Europe 10%",131,80000
"Yiwu Changjie Trading Co., Ltd.  ",1,Yiwu,"Decorations,toys,bags,shoes,office supplies","North America 39%', 'Western Europe 31%', 'Northern Europe 6%",211,60000
"Yiwu Changyi Garment Co., Ltd.  ",1,Yiwu,"Apparel,women yoga tops,kids leggings,kids tops","North America 60%', 'South America 30%', 'Central America 5%",126,50000
"Hangzhou Jinai Apparel Co., Ltd.  ",1,Hangzhou,Kids Clothing,Domestic Market 100.0%,0,0
Shenzhen All Smilings Technology Ltd.  ,1,Shenzhen,"Baby Shoes,Kids shoes,', 'Clothes', ',Women accessories,Toys","Northern Europe 30%', 'North America 25%', 'Southeast Asia 20%",108,70000
"Jinhua Saint Peter Clothing Co., Ltd.  ",1,Jinhua,"seamless umderwear,', 'Children', "" garment,Women garments,Mne's garments,sport wear","North America 70%', 'South America 10%', 'Eastern Asia 5%",0,0
"Dongguan City Wanshi Garment Co., Ltd.  ",1,Dongguan,"islamic clothing,women casual clothing,t-shirt,pants&skirt","Southeast Asia 50%', 'North America 30%', 'Western Europe 10%",3,200
Guangzhou Marshal ,1,Guangzhou,"Soccer Jersey,Basketball Jersey,Sport Tracksuits,Windbreaker","Domestic Market 50.0%', 'North America 25.0%', 'Western Europe 10.0%",338,340000
"Shenzhen Qusart Technology Co., Ltd.  ",1,Shenzhen,"LED,Li-po Battery,Apparel,Electronic,Pet Product","North America 10%', 'Western Europe 10%', 'Eastern Europe 10%",40,10000
"Quanzhou Jinyi Trading Co., Ltd.  ",1,Quanzhou,"clothes', ',garments,baby ', 'clothes', ',kids ', 'clothes', ',', 'children', ' ', 'clothes","North America 10%', 'Mid East 10%', 'South America 10%",6,1000
Yiwu Kaiyaya Clothing Factory  ,1,Yiwu,"Baby ', 'clothes', ',Girl boutique set,Girl dress,', ""Children's"", ' holiday ', 'clothes', ',Baby Rompers",,0,0
"Guangzhou Chengmihang E-Business Co., Ltd.  ",1,Guangzhou,"Women's "", 'clothes', "",Men's clothing,"", ""Children's"", ' ', 'clothes', ',Swimwear,Sportswear",,0,0
"Fashion (Jiangxi) Imp. & Exp. Co., Ltd.  ",1,Fashion,"apparel,gift,bag,cap,umbrella","North America 22%', 'Western Europe 15%', 'Eastern Europe 15%",205,300000
"Hefei Smile Import & Export Trade Co., Ltd.  ",1,Hefei,"clothing,shoes,bags,accessories","North America 20%', 'Oceania 18%', 'Western Europe 14%",257,80000
"Yiwu Xuanliu Arts And Crafts Co., Ltd.  ",1,Yiwu,"Toys,squishy toys,squishy,balloon,bracelet","Western Europe 30%', 'North America 20%', 'Southern Europe 10%",250,70000
Dongguan Huaduo Apparel Limited Company  ,1,Dongguan,"new born clothing,baby girls ', 'clothes', ',baby boys ', 'clothes', ',', 'children', ' clothing,kids ', 'clothes","Oceania 20%', 'Western Europe 15%', 'Eastern Europe 15%",97,80000
"Guangzhou Lai Wei Na Clothing Co., Ltd.  ",1,Guangzhou,"Girls dress,The little girl dresses,', 'Children', ' dress,Female ', 'children', ' dress,Little fairy dress","Mid East 50%', 'South America 10%', 'Southeast Asia 10%",2,3000
"Suzhou Fanweimei Garment Co., Ltd.  ",1,Suzhou,"Wedding Dress,Evening Dress","Domestic Market 82.0%', 'North America 10.0%', 'Western Europe 8.0%",146,20000
"Yiwu Yatu Trading Co., Ltd.  ",1,Yiwu,"Accessories,Clothing,Shoes,Toys,Outdoor Products","North America 22%', 'South America 11%', 'Eastern Europe 10%",0,0
"Yiwu Baoshilei Knitting Lace Co., Ltd.  ",1,Yiwu,"Lace,sexy lingerie,scarf,Lace fabric,lace trim","North America 20%', 'Western Europe 10%', 'Eastern Asia 10%",61,10000
"Guangzhou Lang Ai Fashion Co., Ltd.  ",1,Guangzhou,"Girl Dress,Tutu Skirt and Dress,', 'Children', ' Clothing,Baby ', 'Clothes', ',Clothing Accessories","North America 60%', 'Eastern Europe 10%', 'Southeast Asia 10%",144,30000
"Zhejiang Nanbei Trading Co., Ltd.  ",1,Zhejiang,"PACKING RODUCT,WOOD PRODUCT,LEATHER PRODUCT,DAILY SIPPLIES,HOTEL PRODUCT","Western Europe 26%', 'North America 24%', 'Eastern Europe 12%",248,70000
"Guangzhou Jenny Textile Co., Ltd.  ",1,Guangzhou,"Hawaiian Shirt,Beach Shorts,T Shirts,Windbreaker,Women Dress","North America 45.0%', 'Western Europe 27.0%', 'Oceania 10.0%",64,110000
"Jinjiang Janefun Garment Weaving Co., Ltd.  ",1,Jinjiang,"T-shirt,Polo shirts,hoodies,kitted garments,pajamas","Western Europe 10%', 'North America 10%', 'Southern Europe 10%",14,5000
"Shenzhen Yannisfashion Commerce Co., Ltd.  ",1,Shenzhen,"women clothing,sexy lingerie,Women underwear,swimwear,garment accessories","South America 16%', 'South Asia 15%', 'Eastern Europe 14%",953,160000
"Foshan City Beisitop Trading Co., Ltd.  ",1,Foshan,"kids clothing,baby moccasins,infant ', 'clothes', ',baby girl party dress,kids clothing set","Western Europe 20%', 'Northern Europe 20%', 'North America 20%",0,0
"Zhejiang Family Union Apparel Group Co., Ltd.  ",1,Zhejiang,"Clothing,Shoes,Caps&Hats,Toys,Knit article","North America 20%', 'Africa 10%', 'Southeast Asia 10%",0,0
Guangzhou New Apparel Trade Company Limited  ,1,Guangzhou,"Clothing,socks,beanies,caps","Central America 30%', 'North America 20%', 'Eastern Europe 15%",216,160000
